E0:B9:4D	SHENZHEN BILIAN ELECTRONIC CO.，LTD	2016-06-27	2016-06-27
00:1A:21	Brookhuis Applied Technologies BV	2006-11-29	2016-05-14
00:24:51	Cisco Systems, Inc	2008-12-03	2015-09-27
04:E8:92	SHENNAN CIRCUITS CO.,LTD	2022-02-16	2022-02-16
00:10:5C	QUANTUM DESIGNS (H.K.) LTD.	1997-11-14	2015-09-27
70:14:04	Limited Liability Company	2011-03-17	2015-09-27
C4:00:06	Lipi Data Systems Ltd.	2014-05-27	2015-09-27
AC:4A:FE	Hisense Broadband Multimedia Technology Co.,Ltd.	2011-05-14	2015-09-27
8C:7B:9D	Apple, Inc.	2010-11-24	2017-10-11
00:25:DE	Probits Co., LTD.	2010-01-05	2015-09-27
00:26:45	Circontrol S.A.	2010-01-05	2015-09-27
00:1B:AF	Nokia Danmark A/S	2007-04-09	2015-09-27
54:AC:FC	LIZN ApS	2021-11-11	2021-11-11
68:CE:4E	L-3 Communications Infrared Products	2012-05-01	2015-09-27
00:05:9C	Kleinknecht GmbH, Ing. Büro	2001-06-04	2015-09-27
94:C6:EB	NOVA electronics, Inc.	2011-06-05	2015-09-27
00:24:0B	Virtual Computer Inc.	2008-10-25	2015-09-27
34:9F:7B	CANON INC.	2019-10-01	2019-10-01
70:5A:0F	Hewlett Packard	2015-11-15	2015-11-15
8C:83:DF	Nokia	2020-01-17	2020-01-17
A8:3E:0E	HMD Global Oy	2018-03-05	2018-12-13
00:31:13	International Microsystems, In	
7C:38:6C	Real Time Logic	2012-06-14	2015-09-27
E4:3B:C9	HISENSE VISUAL TECHNOLOGY CO.,LTD	2021-05-29	2021-05-29
2C:48:81	vivo Mobile Communication Co., Ltd.	2021-03-17	2021-07-27
00:08:64		2001-12-14	2015-09-27
00:25:94		2010-01-05	2015-09-27
00:18:41	High Tech Computer Corp	2006-06-13	2015-09-27
00:25:A9	Shanghai Embedway Information Technologies Co.,Ltd	2010-01-05	2015-09-27
00:C0:3F	STORES AUTOMATED SYSTEMS, INC.	1980-01-01	2015-09-27
00:09:73		2002-06-05	2015-09-27
00:1F:CA	Cisco Systems, Inc	2008-02-02	2015-09-27
00:0A:32	Xsido Corporation	2002-06-05	2015-09-27
65:16:57	Innovative Security Designs	
58:93:D8	Texas Instruments	2019-01-02	2019-01-02
44:56:E2	Sichuan Tianyi Comheart Telecom Co.,LTD	2020-04-10	2020-04-10
28:32:C5	HUMAX Co., Ltd.	2014-03-11	2015-09-27
84:E7:14	Liang Herng Enterprise,Co.Ltd.	2013-01-09	2015-09-27
00:15:05	Actiontec Electronics, Inc	2005-06-25	2019-07-01
00:07:3A	INVENTEL	2001-10-24	2019-07-01
8C:67:94	vivo Mobile Communication Co., Ltd.	2021-05-12	2021-07-27
00:24:64		2008-12-03	2015-09-27
69:17:24	TP-LINK TECHNOLOGIES CO.,LTD.	
00:C0:98	CHUNTEX ELECTRONIC CO., LTD.	1980-01-01	2015-09-27
59:17:15	Beijing ECHO Technologies Co.,Ltd	
8C:3A:E3	LG Electronics (Mobile Communications)	2013-11-12	2016-04-27
54:47:41	XCHENG HOLDING	2018-10-15	2018-10-15
E4:44:E5	Extreme Networks, Inc.	2021-07-21	2021-07-21
00:07:8D	NetEngines Ltd.	2001-10-24	2015-09-27
00:0C:F3	CALL IMAGE SA	2003-04-11	2015-09-27
78:CB:2C	Join Digital, Inc.	2020-09-19	2020-09-19
20:DC:93	Cheetah Hi-Tech, Inc.	2012-06-18	2015-09-27
78:BA:D0	Shinybow Technology Co. Ltd.	2011-08-31	2015-09-27
90:58:51	Technicolor CH USA Inc.	2018-11-13	2018-11-13
00:60:B1	Input/Output, Inc.	1980-01-01	2015-09-27
00:11:89		2004-06-10	2015-09-27
C0:3C:59	Intel Corporate	2020-08-18	2020-08-18
60:EF:C6	Shenzhen Chima Technologies Co Limited	2016-06-27	2016-06-27
00:60:BB	Cabletron Systems, Inc.	1980-01-01	2015-11-15
68:8F:C9	Zhuolian (Shenzhen) Communication Co., Ltd	2019-12-05	2019-12-05
74:33:A6	Shenzhen SuperElectron Technology Co.,Ltd.	2021-07-22	2021-07-22
C4:7D:FE	A.N. Solutions GmbH	2013-03-28	2015-09-27
00:24:37	Westell Technologies Inc.	2008-11-09	2015-09-27
60:3F:C5	COX CO., LTD	2011-07-09	2015-09-27
00:0A:73	Scientific Atlanta	2002-10-14	2015-09-27
00:90:A1	Flying Pig Systems/High End Systems Inc.	2000-11-09	2015-09-27
6C:C4:9F	Aruba, a Hewlett Packard Enterprise Company	2021-09-04	2021-09-04
E4:A8:B6	HUAWEI TECHNOLOGIES CO.,LTD	2016-01-25	2016-01-25
04:E4:51	Texas Instruments	2011-07-09	2015-10-07
1C:51:B5	Techaya LTD	2011-12-14	2015-09-27
44:F4:36	zte corporation	2015-03-07	2015-09-27
00:C0:F0	Kingston Technology Company, Inc.	1980-01-01	2016-02-10
2C:56:DC	ASUSTek COMPUTER INC.	2015-10-12	2015-10-12
7C:6C:8F	AMS NEVE LTD	2010-01-05	2015-09-27
10:9F:A9	Actiontec Electronics, Inc	2012-05-26	2019-07-01
AC:5F:3E	SAMSUNG ELECTRO-MECHANICS(THAILAND)	2015-12-03	2015-12-03
98:FF:D0	Lenovo Mobile Communication Technology Ltd.	2013-09-22	2015-09-27
00:12:D4	Princeton Technology, Ltd	2004-11-16	2015-09-27
00:08:DD	Telena Communications, Inc.	2002-06-05	2015-09-27
20:17:42	LG Electronics	2019-02-20	2019-02-20
60:C0:BF	ON Semiconductor	2016-03-16	2016-03-16
78:71:9C	ARRIS Group, Inc.	2014-09-28	2016-05-19
70:57:21	Apple, Inc.	
10:AF:78	Shenzhen ATUE Technology Co., Ltd	2015-01-23	2015-09-27
F0:BC:C8	MaxID (Pty) Ltd	2010-01-05	2015-09-27
00:16:3D	Tsinghua Tongfang Legend Silicon Tech. Co., Ltd.	2005-10-29	2015-09-27
58:46:E1	Baxter International Inc	2012-01-19	2015-10-07
F8:23:87	Shenzhen Horn Audio Co.,Ltd.	2019-03-06	2019-03-06
64:66:B3	TP-LINK TECHNOLOGIES CO.,LTD.	2012-06-14	2015-09-27
04:D6:F4	GD Midea Air-Conditioning Equipment Co.,Ltd.	2020-12-12	2020-12-12
F8:AD:24	Realme Chongqing Mobile Telecommunications Corp.,Ltd.	2022-01-27	2022-01-27
B8:B9:4E	Shenzhen iBaby Labs, Inc.	2012-05-26	2015-09-27
0C:9E:91	Sankosha Corporation	2011-12-14	2015-09-27
08:7D:21	Altasec technology corporation	2012-06-14	2015-09-27
00:A0:83	ASIMMPHONY TURKEY	2000-11-09	2015-09-27
F4:32:3D	Sichuan tianyi kanghe communications co., LTD	2019-01-28	2019-01-28
BC:41:01	Shenzhen TINNO Mobile Technology Corp.	2017-07-01	2017-07-01
74:AC:5F	Qiku Internet Network Scientific (Shenzhen) Co., Ltd.	2015-09-27	2015-09-27
EC:26:51	Apple, Inc.	2020-04-09	2020-04-09
30:58:90		2016-05-14	2016-05-14
44:B9:94	Douglas Lighting Controls	2018-11-29	2018-11-29
00:1C:AE	WiChorus, Inc.	2007-06-16	2015-09-27
20:EF:BD	Roku, Inc	2020-11-03	2020-11-03
00:41:01	DATATECH ENTERPRISES CO., LTD.	
64:6E:69	Liteon Technology Corporation	2017-06-02	2017-06-02
40:B3:FC	Logital Co. Limited 	2011-05-07	2015-09-27
00:A0:1D	Red Lion Controls, LP	1980-01-01	2015-09-27
DC:EB:53	Wuhan QianXiao Elecronic Technology CO.,LTD	2017-05-23	2017-05-23
00:0F:05	3B SYSTEM INC.	2004-02-12	2015-09-27
8C:56:C5	Nintendo Co., Ltd.	2010-01-05	2015-11-15
F8:C2:49	Private	2018-07-06	2018-07-06
00:1C:24	Formosa Wireless Systems Corp.	2007-04-09	2015-09-27
A0:1C:05	NIMAX TELECOM CO.,LTD.	2013-03-10	2015-09-27
5C:0C:0E	Guizhou Huaxintong Semiconductor Technology Co Ltd	2017-09-10	2017-09-15
